id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
50;Matemática;Probabilidade;Ao lançar um dado honesto (de 6 faces), qual a probabilidade de sair um número maior que 4?;1/6;2/6 (ou 1/3);3/6 (ou 1/2);4/6 (ou 2/3);B;Errado. 1/6 seria a chance de sair SÓ o 5 (ou só o 6).;Correto. Casos favoráveis (números > 4) = 2 (o 5 e o 6). Casos totais = 6 (faces 1, 2, 3, 4, 5, 6). Probabilidade = 2/6, que simplificado é 1/3.;Errado. 3/6 seria a chance de sair um número par (2, 4, 6).;Errado.;Probabilidade = (Casos que eu quero) / (Total de casos possíveis).;P(A) = n(A) / n(S);Fácil
51;Língua Portuguesa;Acentuação;Qual palavra é acentuada pela mesma regra de 'história'?;País;Saúde;Família;Útil;C;Errado. 'País' é hiato (i tônico).;Errado. 'Saúde' é hiato (u tônico).;Correto. 'História' e 'Família' são paroxítonas terminadas em ditongo crescente.;Errado. 'Útil' é paroxítona terminada em 'l'.;A regra é: Paroxítona terminada em ditongo.;N/A;Fácil
52;Direito Administrativo;Bens Públicos;O ato pelo qual o Estado retira a destinação pública de um bem de uso especial (como um prédio escolar desativado), tornando-o um bem dominical, chama-se:;Afetação;Desafetação;Tombamento;Desapropriação;B;Errado. Afetação é o ato de DAR uma destinação pública ao bem.;Correto. Desafetação é o ato de RETIRAR a destinação pública.;Errado. Tombamento é para proteção histórica.;Errado. Desapropriação é a tomada da propriedade privada.;Afetar = Ligar (a um uso). Desafetar = Desligar (do uso).;N/A;Médio
53;Raciocínio Lógico;Negação (Proposições Categóricas);Qual é a negação de 'Algum político é honesto'?;Algum político não é honesto.;Nenhum político é honesto.;Todo político é honesto.;Todo político não é honesto.;B;Errado. Esta é a 'particular negativa'.;Correto. A negação de 'Algum A é B' (particular afirmativa) é 'Nenhum A é B' (universal negativa).;Errado. Esta é a 'universal afirmativa'.;Errado. Esta é a 'contrária'.;Negação de ALGUM = NENHUM. Negação de TODO = ALGUM NÃO.;Negação de ∃x, P(x) é ∀x, ~P(x);Médio
54;Direito Constitucional;Remédios Constitucionais;Qual remédio constitucional é cabível para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros de entidades governamentais?;Habeas Corpus;Mandado de Segurança;Habeas Data;Ação Popular;C;Errado. Habeas Corpus é para liberdade de locomoção (ir e vir).;Errado. Mandado de Segurança protege direito líquido e certo (residual).;Correto. Habeas Data ('dê-me os dados') é para acesso ou retificação de informações pessoais.;Errado. Ação Popular é para anular ato lesivo ao patrimônio público.;Data = Dados. Corpus = Corpo.;Art. 5º, LXXII da CF/88;Fácil
55;Matemática;Geometria (Área);Qual a área de um círculo com raio de 10 cm? (Considere π = 3,14);31,4 cm²;62,8 cm²;314 cm²;100 cm²;C;Errado. 31,4 seria o diâmetro (10π).;Errado. 62,8 seria a circunferência (2πr).;Correto. A área é π * r². A = 3,14 * (10*10) = 3,14 * 100 = 314 cm².;Errado. 100cm² seria a área de um quadrado de lado 10.;Cuidado para não confundir a fórmula da Área (πr²) com a da Circunferência (2πr).;A = π * r²;Médio
56;Psicologia (Gestão);Behaviorismo (Comportamental);Na teoria de B.F. Skinner, o ato de adicionar uma recompensa (ex: um bônus) após um comportamento desejado (ex: bater a meta) para aumentar a chance desse comportamento se repetir, é chamado de:;Reforço Negativo;Punição Positiva;Reforço Positivo;Extinção;C;Errado. Reforço Negativo é a RETIRADA de algo ruim.;Errado. Punição Positiva é a ADIÇÃO de algo ruim.;Correto. Reforço Positivo é a ADIÇÃO de algo bom (recompensa).;Errado. Extinção é a remoção do reforço até o comportamento parar.;Positivo = Adicionar. Negativo = Retirar. Reforço = Aumentar Comportamento. Punição = Diminuir Comportamento.;N/A;Fácil
57;Atualidades;Relações Internacionais;Em 2024, o bloco de países conhecido como BRICS (Brasil, Rússia, Índia, China, África do Sul) passou por uma grande expansão, adicionando novos membros. Qual dos seguintes países NÃO se tornou membro pleno em 2024?;Egito;Irã;Arábia Saudita;Argentina;D;Errado. Egito entrou.;Errado. Irã entrou.;Errado. Arábia Saudita entrou.;Correto. A Argentina foi convidada, mas o novo governo (de Javier Milei) formalmente recusou o convite.;A expansão incluiu Egito, Etiópia, Irã, Arábia Saudita e Emirados Árabes Unidos.;N/A;Médio
58;Língua Portuguesa;Uso dos 'Porquês';Complete a frase: 'Eu não sei ___ ela faltou, mas sei que foi ___ estava doente.';por que / porque;porque / por que;por quê / porquê;por que / por quê;A;Correto. 'por que' (separado) é usado para perguntas (diretas ou indiretas, 'por qual motivo'). 'porque' (junto) é usado para respostas (explicação).;Errado. Inverteu a ordem.;Errado. 'Por quê' (separado e com acento) só no fim da frase. 'Porquê' (junto e com acento) é um substantivo (o motivo).;Errado.;Por que = Pergunta/Motivo. Porque = Resposta/Explicação. Por quê = Fim de frase. O Porquê = Substantivo.;N/A;Médio
59;Direito Administrativo;Licitações (Inexigibilidade);A contratação de um artista consagrado pela crítica especializada ou pela opinião pública é um exemplo clássico de:;Licitação Dispensada;Licitação Dispensável;Concorrência;Inexigibilidade de Licitação;D;Errado. Dispensada é para casos específicos (ex: guerra) e não se confunde.;Errado. Dispensável é um rol taxativo (ex: baixo valor), mas não é o caso.;Errado. Concorrência é a modalidade.;Correto. Inexigibilidade (Art. 74 da Lei 14.133) ocorre quando há 'inviabilidade de competição', como na contratação de artista exclusivo ou notória especialização.;Inexigível = Impossível competir (ex: um show do Zeca Pagodinho, só o Zeca Pagodinho pode fazer).;Art. 74, II, Lei 14.133/21;Difícil
60;Raciocínio Lógico;Tabela Verdade (Bicondicional);Na proposição composta P <-> Q (Bicondicional, 'Se e somente se'), o resultado lógico será Verdadeiro (V) quando:;Os valores de P e Q forem diferentes.;Os valores de P e Q forem iguais.;P for V e Q for F.;P for F e Q for V.;B;Errado. Se forem diferentes (V-F ou F-V), o resultado é Falso.;Correto. A bicondicional só é verdade se ambos forem verdadeiros (V-V) ou ambos falsos (F-F).;Errado. Isso dá Falso.;Errado. Isso dá Falso.;A Bicondicional exige igualdade. Pense nela como um 'detector de igualdade'.;N/A;Médio
61;Direito Constitucional;Poder Executivo;Qual o instrumento com força de lei que pode ser adotado pelo Presidente da República, em casos de relevância e urgência?;Decreto Legislativo;Medida Provisória;Lei Delegada;Emenda Constitucional;B;Errado. Decreto Legislativo é do Congresso.;Correto. A Medida Provisória (MP) tem força de lei e é usada para relevância e urgência, mas precisa de aprovação posterior do Congresso.;Errado. Lei Delegada depende de autorização prévia.;Errado. Emenda Constitucional é para mudar a CF.;MP = Relevância + Urgência.;Art. 62 da CF/88;Fácil
62;Matemática;Juros Compostos;Um capital de R$ 5.000,00 foi aplicado a juros compostos e, após 2 meses, gerou um montante de R$ 5.512,50. Qual foi a taxa de juros mensal?;2%;3,5%;4%;5%;D;Errado.;Errado.;Errado.;Correto. M = C(1+i)^t => 5512,50 = 5000(1+i)² => (1+i)² = 1,1025 => (1+i) = sqrt(1,1025) => 1+i = 1,05 => i = 0,05 (ou 5%).;É o inverso do cálculo do montante. Você precisa achar a raiz quadrada.;M = C * (1 + i)^t;Difícil
63;Psicologia (Saúde);Psicanálise (Freud);Segundo Freud, a instância psíquica que opera pelo 'Princípio da Realidade', mediando os impulsos do Id e as regras do Superego, é o:;Ego;Id;Superego;Inconsciente;A;Correto. O Ego é o 'executivo' da personalidade, buscando o equilíbrio com a realidade.;Errado. O Id opera pelo 'Princípio do Prazer' (impulsos).;Errado. O Superego é o 'juiz' (moral, regras, culpa).;Errado. Inconsciente é um nível de consciência, não uma instância.;Id = Prazer. Ego = Realidade. Superego = Moral.;N/A;Fácil
64;Psicologia (Gestão);Terapia Cognitivo-Comportamental (TCC);Na TCC, o modelo cognitivo propõe que as emoções e comportamentos são influenciados pela interpretação (cognição) dos eventos. O que Aaron Beck chamou de 'pensamentos que surgem rapidamente e parecem plausíveis'?;Distorções Cognitivas;Crenças Centrais;Pensamentos Automáticos;Esquemas;C;Errado. Distorções são erros de lógica (ex: catastrofização).;Errado. Crenças Centrais são regras profundas (ex: 'eu sou incapaz').;Correto. Pensamentos Automáticos são o fluxo de consciência superficial (ex: 'ele não me cumprimentou, ele me odeia').;Errado. Esquemas são padrões mais amplos.;Situação -> Pensamento Automático -> Emoção/Comportamento;N/A;Médio
65;Atualidades;Demografia;O fenômeno demográfico observado no Brasil e em grande parte do mundo, caracterizado pela diminuição da taxa de natalidade e aumento da expectativa de vida, resultando em maior proporção de idosos, é chamado de:;Crescimento Vegetativo;Transição Demográfica;Inchaço Urbano;Êxodo Rural;B;Errado. Crescimento vegetativo é a diferença entre natalidade e mortalidade.;Correto. A Transição Demográfica é o processo que leva a esse envelhecimento.;Errado. Inchaço urbano é o crescimento desordenado das cidades.;Errado. Êxodo rural é a migração do campo para a cidade.;O resultado final da Transição Demográfica é o envelhecimento da população.;N/A;Fácil
66;Língua Portuguesa;Acentuação;Qual palavra é acentuada pela mesma regra de 'história'?;País;Saúde;Família;Útil;C;Errado. 'País' é hiato (i tônico).;Errado. 'Saúde' é hiato (u tônico).;Correto. 'História' e 'Família' são paroxítonas terminadas em ditongo crescente.;Errado. 'Útil' é paroxítona terminada em 'l'.;A regra é: Paroxítona terminada em ditongo.;N/A;Fácil
67;Direito Administrativo;Bens Públicos;O ato pelo qual o Estado retira a destinação pública de um bem de uso especial (como um prédio escolar desativado), tornando-o um bem dominical, chama-se:;Afetação;Desafetação;Tombamento;Desapropriação;B;Errado. Afetação é o ato de DAR uma destinação pública ao bem.;Correto. Desafetação é o ato de RETIRAR a destinação pública.;Errado. Tombamento é para proteção histórica.;Errado. Desapropriação é a tomada da propriedade privada.;Afetar = Ligar (a um uso). Desafetar = Desligar (do uso).;N/A;Médio
68;Raciocínio Lógico;Negação (Proposições Categóricas);Qual é a negação de 'Algum político é honesto'?;Algum político não é honesto.;Nenhum político é honesto.;Todo político é honesto.;Todo político não é honesto.;B;Errado. Esta é a 'particular negativa'.;Correto. A negação de 'Algum A é B' (particular afirmativa) é 'Nenhum A é B' (universal negativa).;Errado. Esta é a 'universal afirmativa'.;Errado. Esta é a 'contrária'.;Negação de ALGUM = NENHUM. Negação de TODO = ALGUM NÃO.;Negação de ∃x, P(x) é ∀x, ~P(x);Médio
69;Direito Constitucional;Remédios Constitucionais;Qual remédio constitucional é cabível para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros de entidades governamentais?;Habeas Corpus;Mandado de Segurança;Habeas Data;Ação Popular;C;Errado. Habeas Corpus é para liberdade de locomoção (ir e vir).;Errado. Mandado de Segurança protege direito líquido e certo (residual).;Correto. Habeas Data ('dê-me os dados') é para acesso ou retificação de informações pessoais.;Errado. Ação Popular é para anular ato lesivo ao patrimônio público.;Data = Dados. Corpus = Corpo.;Art. 5º, LXXII da CF/88;Fácil
70;Matemática;Geometria (Área);Qual a área de um círculo com raio de 10 cm? (Considere π = 3,14);31,4 cm²;62,8 cm²;314 cm²;100 cm²;C;Errado. 31,4 seria o diâmetro (10π).;Errado. 62,8 seria a circunferência (2πr).;Correto. A área é π * r². A = 3,14 * (10*10) = 3,14 * 100 = 314 cm².;Errado. 100cm² seria a área de um quadrado de lado 10.;Cuidado para não confundir a fórmula da Área (πr²) com a da Circunferência (2πr).;A = π * r²;Médio
71;Psicologia (Gestão);Behaviorismo (Comportamental);Na teoria de B.F. Skinner, o ato de adicionar uma recompensa (ex: um bônus) após um comportamento desejado (ex: bater a meta) para aumentar a chance desse comportamento se repetir, é chamado de:;Reforço Negativo;Punição Positiva;Reforço Positivo;Extinção;C;Errado. Reforço Negativo é a RETIRADA de algo ruim.;Errado. Punição Positiva é a ADIÇÃO de algo ruim.;Correto. Reforço Positivo é a ADIÇÃO de algo bom (recompensa).;Errado. Extinção é a remoção do reforço até o comportamento parar.;Positivo = Adicionar. Negativo = Retirar. Reforço = Aumentar Comportamento. Punição = Diminuir Comportamento.;N/A;Fácil
72;Atualidades;Relações Internacionais;Em 2024, o bloco de países conhecido como BRICS (Brasil, Rússia, Índia, China, África do Sul) passou por uma grande expansão, adicionando novos membros. Qual dos seguintes países NÃO se tornou membro pleno em 2024?;Egito;Irã;Arábia Saudita;Argentina;D;Errado. Egito entrou.;Errado. Irã entrou.;Errado. Arábia Saudita entrou.;Correto. A Argentina foi convidada, mas o novo governo (de Javier Milei) formalmente recusou o convite.;A expansão incluiu Egito, Etiópia, Irã, Arábia Saudita e Emirados Árabes Unidos.;N/A;Médio
73;Língua Portuguesa;Uso dos 'Porquês';Complete a frase: 'Eu não sei ___ ela faltou, mas sei que foi ___ estava doente.';por que / porque;porque / por que;por quê / porquê;por que / por quê;A;Correto. 'por que' (separado) é usado para perguntas (diretas ou indiretas, 'por qual motivo'). 'porque' (junto) é usado para respostas (explicação).;Errado. Inverteu a ordem.;Errado. 'Por quê' (separado e com acento) só no fim da frase. 'Porquê' (junto e com acento) é um substantivo (o motivo).;Errado.;Por que = Pergunta/Motivo. Porque = Resposta/Explicação. Por quê = Fim de frase. O Porquê = Substantivo.;N/A;Médio
74;Direito Administrativo;Licitações (Inexigibilidade);A contratação de um artista consagrado pela crítica especializada ou pela opinião pública é um exemplo clássico de:;Licitação Dispensada;Licitação Dispensável;Concorrência;Inexigibilidade de Licitação;D;Errado. Dispensada é para casos específicos (ex: guerra) e não se confunde.;Errado. Dispensável é um rol taxativo (ex: baixo valor), mas não é o caso.;Errado. Concorrência é a modalidade.;Correto. Inexigibilidade (Art. 74 da Lei 14.133) ocorre quando há 'inviabilidade de competição', como na contratação de artista exclusivo ou notória especialização.;Inexigível = Impossível competir (ex: um show do Zeca Pagodinho, só o Zeca Pagodinho pode fazer).;Art. 74, II, Lei 14.133/21;Difícil
75;Raciocínio Lógico;Tabela Verdade (Bicondicional);Na proposição composta P <-> Q (Bicondicional, 'Se e somente se'), o resultado lógico será Verdadeiro (V) quando:;Os valores de P e Q forem diferentes.;Os valores de P e Q forem iguais.;P for V e Q for F.;P for F e Q for V.;B;Errado. Se forem diferentes (V-F ou F-V), o resultado é Falso.;Correto. A bicondicional só é verdade se ambos forem verdadeiros (V-V) ou ambos falsos (F-F).;Errado. Isso dá Falso.;Errado. Isso dá Falso.;A Bicondicional exige igualdade. Pense nela como um 'detector de igualdade'.;N/A;Médio
76;Direito Constitucional;Poder Executivo;Qual o instrumento com força de lei que pode ser adotado pelo Presidente da República, em casos de relevância e urgência?;Decreto Legislativo;Medida Provisória;Lei Delegada;Emenda Constitucional;B;Errado. Decreto Legislativo é do Congresso.;Correto. A Medida Provisória (MP) tem força de lei e é usada para relevância e urgência, mas precisa de aprovação posterior do Congresso.;Errado. Lei Delegada depende de autorização prévia.;Errado. Emenda Constitucional é para mudar a CF.;MP = Relevância + Urgência.;Art. 62 da CF/88;Fácil
77;Matemática;Juros Compostos;Um capital de R$ 5.000,00 foi aplicado a juros compostos e, após 2 meses, gerou um montante de R$ 5.512,50. Qual foi a taxa de juros mensal?;2%;3,5%;4%;5%;D;Errado.;Errado.;Errado.;Correto. M = C(1+i)^t => 5512,50 = 5000(1+i)² => (1+i)² = 1,1025 => (1+i) = sqrt(1,1025) => 1+i = 1,05 => i = 0,05 (ou 5%).;É o inverso do cálculo do montante. Você precisa achar a raiz quadrada.;M = C * (1 + i)^t;Difícil
78;Psicologia (Saúde);Psicanálise (Freud);Segundo Freud, a instância psíquica que opera pelo 'Princípio da Realidade', mediando os impulsos do Id e as regras do Superego, é o:;Ego;Id;Superego;Inconsciente;A;Correto. O Ego é o 'executivo' da personalidade, buscando o equilíbrio com a realidade.;Errado. O Id opera pelo 'Princípio do Prazer' (impulsos).;Errado. O Superego é o 'juiz' (moral, regras, culpa).;Errado. Inconsciente é um nível de consciência, não uma instância.;Id = Prazer. Ego = Realidade. Superego = Moral.;N/A;Fácil
79;Psicologia (Gestão);Terapia Cognitivo-Comportamental (TCC);Na TCC, o modelo cognitivo propõe que as emoções e comportamentos são influenciados pela interpretação (cognição) dos eventos. O que Aaron Beck chamou de 'pensamentos que surgem rapidamente e parecem plausíveis'?;Distorções Cognitivas;Crenças Centrais;Pensamentos Automáticos;Esquemas;C;Errado. Distorções são erros de lógica (ex: catastrofização).;Errado. Crenças Centrais são regras profundas (ex: 'eu sou incapaz').;Correto. Pensamentos Automáticos são o fluxo de consciência superficial (ex: 'ele não me cumprimentou, ele me odeia').;Errado. Esquemas são padrões mais amplos.;Situação -> Pensamento Automático -> Emoção/Comportamento;N/A;Médio
80;Atualidades;Demografia;O fenômeno demográfico observado no Brasil e em grande parte do mundo, caracterizado pela diminuição da taxa de natalidade e aumento da expectativa de vida, resultando em maior proporção de idosos, é chamado de:;Crescimento Vegetativo;Transição Demográfica;Inchaço Urbano;Êxodo Rural;B;Errado. Crescimento vegetativo é a diferença entre natalidade e mortalidade.;Correto. A Transição Demográfica é o processo que leva a esse envelhecimento.;Errado. Inchaço urbano é o crescimento desordenado das cidades.;Errado. Êxodo rural é a migração do campo para a cidade.;O resultado final da Transição Demográfica é o envelhecimento da população.;N/A;Fácil
81;Língua Portuguesa;Acentuação;Qual palavra é acentuada pela mesma regra de 'história'?;País;Saúde;Família;Útil;C;Errado. 'País' é hiato (i tônico).;Errado. 'Saúde' é hiato (u tônico).;Correto. 'História' e 'Família' são paroxítonas terminadas em ditongo crescente.;Errado. 'Útil' é paroxítona terminada em 'l'.;A regra é: Paroxítona terminada em ditongo.;N/A;Fácil
82;Direito Administrativo;Bens Públicos;O ato pelo qual o Estado retira a destinação pública de um bem de uso especial (como um prédio escolar desativado), tornando-o um bem dominical, chama-se:;Afetação;Desafetação;Tombamento;Desapropriação;B;Errado. Afetação é o ato de DAR uma destinação pública ao bem.;Correto. Desafetação é o ato de RETIRAR a destinação pública.;Errado. Tombamento é para proteção histórica.;Errado. Desapropriação é a tomada da propriedade privada.;Afetar = Ligar (a um uso). Desafetar = Desligar (do uso).;N/A;Médio
83;Raciocínio Lógico;Negação (Proposições Categóricas);Qual é a negação de 'Algum político é honesto'?;Algum político não é honesto.;Nenhum político é honesto.;Todo político é honesto.;Todo político não é honesto.;B;Errado. Esta é a 'particular negativa'.;Correto. A negação de 'Algum A é B' (particular afirmativa) é 'Nenhum A é B' (universal negativa).;Errado. Esta é a 'universal afirmativa'.;Errado. Esta é a 'contrária'.;Negação de ALGUM = NENHUM. Negação de TODO = ALGUM NÃO.;Negação de ∃x, P(x) é ∀x, ~P(x);Médio
84;Direito Constitucional;Remédios Constitucionais;Qual remédio constitucional é cabível para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros de entidades governamentais?;Habeas Corpus;Mandado de Segurança;Habeas Data;Ação Popular;C;Errado. Habeas Corpus é para liberdade de locomoção (ir e vir).;Errado. Mandado de Segurança protege direito líquido e certo (residual).;Correto. Habeas Data ('dê-me os dados') é para acesso ou retificação de informações pessoais.;Errado. Ação Popular é para anular ato lesivo ao patrimônio público.;Data = Dados. Corpus = Corpo.;Art. 5º, LXXII da CF/88;Fácil
85;Matemática;Geometria (Área);Qual a área de um círculo com raio de 10 cm? (Considere π = 3,14);31,4 cm²;62,8 cm²;314 cm²;100 cm²;C;Errado. 31,4 seria o diâmetro (10π).;Errado. 62,8 seria a circunferência (2πr).;Correto. A área é π * r². A = 3,14 * (10*10) = 3,14 * 100 = 314 cm².;Errado. 100cm² seria a área de um quadrado de lado 10.;Cuidado para não confundir a fórmula da Área (πr²) com a da Circunferência (2πr).;A = π * r²;Médio
86;Psicologia (Gestão);Behaviorismo (Comportamental);Na teoria de B.F. Skinner, o ato de adicionar uma recompensa (ex: um bônus) após um comportamento desejado (ex: bater a meta) para aumentar a chance desse comportamento se repetir, é chamado de:;Reforço Negativo;Punição Positiva;Reforço Positivo;Extinção;C;Errado. Reforço Negativo é a RETIRADA de algo ruim.;Errado. Punição Positiva é a ADIÇÃO de algo ruim.;Correto. Reforço Positivo é a ADIÇÃO de algo bom (recompensa).;Errado. Extinção é a remoção do reforço até o comportamento parar.;Positivo = Adicionar. Negativo = Retirar. Reforço = Aumentar Comportamento. Punição = Diminuir Comportamento.;N/A;Fácil
87;Atualidades;Relações Internacionais;Em 2024, o bloco de países conhecido como BRICS (Brasil, Rússia, Índia, China, África do Sul) passou por uma grande expansão, adicionando novos membros. Qual dos seguintes países NÃO se tornou membro pleno em 2024?;Egito;Irã;Arábia Saudita;Argentina;D;Errado. Egito entrou.;Errado. Irã entrou.;Errado. Arábia Saudita entrou.;Correto. A Argentina foi convidada, mas o novo governo (de Javier Milei) formalmente recusou o convite.;A expansão incluiu Egito, Etiópia, Irã, Arábia Saudita e Emirados Árabes Unidos.;N/A;Médio
88;Língua Portuguesa;Uso dos 'Porquês';Complete a frase: 'Eu não sei ___ ela faltou, mas sei que foi ___ estava doente.';por que / porque;porque / por que;por quê / porquê;por que / por quê;A;Correto. 'por que' (separado) é usado para perguntas (diretas ou indiretas, 'por qual motivo'). 'porque' (junto) é usado para respostas (explicação).;Errado. Inverteu a ordem.;Errado. 'Por quê' (separado e com acento) só no fim da frase. 'Porquê' (junto e com acento) é um substantivo (o motivo).;Errado.;Por que = Pergunta/Motivo. Porque = Resposta/Explicação. Por quê = Fim de frase. O Porquê = Substantivo.;N/A;Médio
89;Direito Administrativo;Licitações (Inexigibilidade);A contratação de um artista consagrado pela crítica especializada ou pela opinião pública é um exemplo clássico de:;Licitação Dispensada;Licitação Dispensável;Concorrência;Inexigibilidade de Licitação;D;Errado. Dispensada é para casos específicos (ex: guerra) e não se confunde.;Errado. Dispensável é um rol taxativo (ex: baixo valor), mas não é o caso.;Errado. Concorrência é a modalidade.;Correto. Inexigibilidade (Art. 74 da Lei 14.133) ocorre quando há 'inviabilidade de competição', como na contratação de artista exclusivo ou notória especialização.;Inexigível = Impossível competir (ex: um show do Zeca Pagodinho, só o Zeca Pagodinho pode fazer).;Art. 74, II, Lei 14.133/21;Difícil
90;Língua Portuguesa;Interpretação de Texto;Um dos maiores desafios no ambiente corporativo é a comunicação clara. Muitos projetos falham não por falta de competência técnica, mas por ruídos na transmissão de ideias. A assertividade, nesse contexto, torna-se crucial. Segundo o texto:;A competência técnica é irrelevante para o sucesso de projetos.;A comunicação clara é um elemento secundário no ambiente corporativo.;Ruídos na comunicação podem comprometer a execução de projetos.;A assertividade é um obstáculo para a transmissão de ideias.;C;Errado. O texto não diz que é irrelevante, mas que não é a única causa de falhas.;Errado. É descrita como um dos maiores desafios, portanto, é crucial.;Correto. O texto afirma que muitos projetos falham por ruídos na comunicação.;Errado. A assertividade é apontada como crucial, não como obstáculo.;"Atenção aos termos-chave: \""desafios\"", \""falham\"", \""ruídos\"", \""crucial\"".";N/A;Fácil
91;Língua Portuguesa;Pontuação;Assinale a alternativa em que o uso da vírgula está INCORRETO:;O gerente, após analisar os relatórios, tomou a decisão.;Oferecemos cursos de inglês, espanhol, e francês.;Embora chegasse atrasado, conseguiu fechar o negócio.;Ele, que sempre foi pontual, surpreendeu a todos.;B;Errado. Uso correto para isolar o adjunto adverbial deslocado.;"Correto. A vírgula antes do \""e\"" em enumeração é incorreta (não se separa o último termo de uma lista com vírgula antes do \""e\"").";Errado. Uso correto para separar oração subordinada adverbial antecipada.;Errado. Uso correto para isolar oração subordinada adjetiva explicativa.;"Lembre-se: na enumeração, não se usa vírgula antes do \""e\"" a menos que os termos sejam independentes.";N/A;Médio
92;Língua Portuguesa;Regência Verbal;Assinale a alternativa em que a regência verbal está de acordo com a norma padrão:;O cliente aspira uma vaga no mercado de trabalho.;Precisamos de obedecer às regras do edital.;Todos anseiam por melhores oportunidades.;A empresa remeteu os produtos ao cliente.;C;"Errado. \""Aspirar\"" no sentido de desejar é indireto: \""aspirar a uma vaga\"".";"Errado. \""Precisamos obedecer às regras\"" (verbo transitivo direto).";"Correto. \""Ansiar\"" é verbo transitivo indireto, regido pela preposição \""por\"".";"Errado. \""Remeter\"" é transitivo direto: \""A empresa remeteu os produtos ao cliente\"" (ou \""remeteu os produtos\"").";"Verbos de desejo como \""aspirar\"", \""ansiar\"", \""almejar\"" geralmente exigem preposição.";N/A;Médio
93;Língua Portuguesa;Crase;Assinale a alternativa em que o uso do acento indicativo de crase é OBRIGATÓRIO:;Refiro-me àquele documento importante.;Vamos à São Paulo na próxima semana.;Ele chegou às pressas para a reunião.;A reunião será às 14 horas.;D;Errado. Crase facultativa antes de pronome demonstrativo.;Errado. Não se usa crase antes de nomes de cidades, exceto os femininos que aceitem artigo.;"Errado. \""Às pressas\"" é uma locução adverbial feminina que exige crase.";Correto. Antes de horas é obrigatório o uso do acento indicativo de crase.;"Antes de palavras femininas e indicação de horas, verifique se há a contração \""a + a\"".";N/A;Médio
94;Matemática;Funções;Dada a função f(x) = 2x² - 3x + 1, qual é o valor de f(2)?;3;5;7;9;A;Correto. f(2) = 2(2)² - 32 + 1 = 24 - 6 + 1 = 8 - 6 + 1 = 3;Errado. Verifique os cálculos, especialmente o sinal do termo -3x.;Errado. Cuidado com a ordem das operações: primeiro exponenciação, depois multiplicação, depois soma/subtração.;Errado. Não esqueça de calcular todos os termos da função.;Substitua x pelo valor dado (2) e calcule passo a passo.;f(x) = 2x² - 3x + 1;Fácil
95;Matemática;Equações;Qual é o conjunto solução da equação 2x - 4 = 3x + 1?;{-5};{5};{-3};{3};A;Correto. 2x - 4 = 3x + 1 → 2x - 3x = 1 + 4 → -x = 5 → x = -5;Errado. Verifique os sinais ao transportar os termos.;Errado. Atenção à operação inversa: deve-se isolar x corretamente.;Errado. Confira todos os passos da resolução.;Isole a incógnita x em um lado da equação.;2x - 4 = 3x + 1 → -x = 5 → x = -5;Fácil
96;Matemática;Funções;Seja f(x) = 3x - 1. Qual é a raiz da função?;1/3;-1/3;3;-3;A;Correto. Raiz é quando f(x)=0: 3x - 1 = 0 → 3x = 1 → x = 1/3;Errado. Cuidado com o sinal ao resolver a equação.;Errado. A raiz é o valor de x que zera a função, não o coeficiente.;Errado. Verifique a solução da equação 3x - 1 = 0;Iguale a função a zero e resolva a equação.;f(x) = 0 quando 3x - 1 = 0;Fácil
97;Matemática;Sistemas Lineares;Qual é a solução do sistema: 2x + y = 7 e x - y = 2?;(3,1);(1,3);(2,3);(3,2);A;Correto. Somando as equações: 3x = 9 → x = 3. Substituindo: 3 - y = 2 → y = 1;Errado. Verifique se os valores satisfazem ambas as equações.;Errado. Tente resolver pelo método da adição ou substituição.;Errado. Confira os cálculos de substituição.;Some as duas equações para eliminar y e encontrar x.;2x + y = 7 E x - y = 2;Médio
98;Raciocínio Lógico;Lógica Proposicional;"A negação de \""Todo bancário é pontual\"" é:";Nenhum bancário é pontual.;Algum bancário não é pontual.;Todo bancário não é pontual.;Algum bancário é pontual.;B;Errado. Esta é a contrária, não a negação.;"Correto. A negação de \""todo A é B\"" é \""algum A não é B\"".";"Errado. Esta é a contraditória de \""algum bancário é pontual\"".";"Errado. Esta é a subalterna de \""todo bancário é pontual\"".";"Para negar \""todo\"", basta encontrar um contraexemplo (\""algum... não\"").";N/A;Fácil
99;Raciocínio Lógico;Raciocínio Sequencial;Qual é o próximo termo da sequência: 2, 6, 12, 20, 30, ...?;40;42;44;46;B;Errado. A diferença entre os termos está aumentando: 4,6,8,10,...;Correto. As diferenças são 4,6,8,10, então próxima diferença é 12: 30+12=42;Errado. Padrão: n×(n+1): 1×2=2, 2×3=6, 3×4=12, 4×5=20, 5×6=30, 6×7=42;Errado. Verifique o padrão da sequência.;Analise as diferenças entre termos consecutivos.;Padrão: n×(n+1) onde n=1,2,3,...;Médio
